time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-30T17:58:42.391Z,-2.705,136.6551,45.13,4.6,mb,21,179,4.406,1.08,us,us7000nv5y,2024-11-30T21:11:13.040Z,"147 km ENE of Nabire, Indonesia",earthquake,5.67,14.595,0.141,15,reviewed,us,us
2024-11-30T17:47:07.472Z,0.3403,122.1671,173.798,4.5,mb,27,88,1.5,0.83,us,us7000nv5x,2024-11-30T21:07:16.040Z,"102 km WSW of Gorontalo, Indonesia",earthquake,9.02,8.55,0.113,23,reviewed,us,us
2024-11-30T17:19:16.579Z,25.1884,126.1009,39.267,4.6,mb,36,83,1.878,1.08,us,us7000nv5v,2024-11-30T21:04:15.040Z,"91 km ENE of Miyakojima, Japan",earthquake,8.08,8.426,0.098,31,reviewed,us,us
2024-11-30T16:10:41.920Z,6.2482,123.3467,10,4.5,mb,71,43,2.363,0.55,us,us7000nv5u,2024-12-03T19:29:49.040Z,"80 km WSW of Sangay, Philippines",earthquake,6.94,1.822,0.073,61,reviewed,us,us
2024-11-30T15:08:50.487Z,19.3318,-108.5272,10,5.4,mww,176,72,6.532,0.54,us,us7000nv52,2024-12-03T18:39:50.778Z,"Revilla Gigedo Islands region",earthquake,9.5,1.852,0.036,75,reviewed,us,us
2024-11-30T15:06:52.744Z,-18.2076,-172.618,10,4.9,mb,49,77,2.694,1.04,us,us7000nv53,2024-12-03T17:24:26.040Z,"152 km ENE of Neiafu, Tonga",earthquake,4.13,1.871,0.068,68,reviewed,us,us
2024-11-30T14:48:36.388Z,-20.0686,-175.8673,225.241,4.6,mb,35,118,5.687,1.19,us,us7000nv4y,2024-11-30T15:11:21.040Z,"135 km NNW of Houma, Tonga",earthquake,12.59,4.31,0.08,46,reviewed,us,us
2024-11-30T14:10:15.823Z,-5.96,147.5369,113.378,4.8,mb,53,48,3.443,1,us,us7000nv4u,2024-11-30T14:44:11.040Z,"74 km NNW of Finschhafen, Papua New Guinea",earthquake,8.43,7.41,0.064,75,reviewed,us,us
2024-11-30T13:15:40.304Z,-24.1458,179.7241,525.886,5.1,mww,58,71,5.495,0.85,us,us7000nv4l,2024-11-30T13:34:41.040Z,"south of the Fiji Islands",earthquake,12.03,7.777,0.103,9,reviewed,us,us
2024-11-30T10:33:40.015Z,17.5573,145.8326,194.438,5.1,mb,89,77,2.304,1.11,us,us7000nv43,2024-12-06T10:43:55.099Z,"259 km N of Saipan, Northern Mariana Islands",earthquake,9.43,6.119,0.025,516,reviewed,us,us
2024-11-30T09:07:02.376Z,23.8401,123.3914,23.58,5.2,mww,61,76,0.714,0.91,us,us7000nv3k,2024-11-30T09:55:57.152Z,"79 km SSE of Yonakuni, Japan",earthquake,5.43,5.122,0.08,15,reviewed,us,us
2024-11-30T08:46:15.083Z,25.2823,126.059,40.336,5.7,mww,112,32,1.886,0.83,us,us7000nv3a,2024-12-04T02:35:33.833Z,"92 km NE of Hirara, Japan",earthquake,7,6.387,0.04,59,reviewed,us,us
2024-11-30T08:34:11.948Z,23.8777,123.3477,36.057,4.8,mb,55,92,0.662,0.81,us,us7000nv35,2024-11-30T09:06:54.040Z,"74 km SSE of Yonakuni, Japan",earthquake,5.89,7.858,0.078,51,reviewed,us,us
2024-11-30T07:51:39.929Z,-32.7314,-178.5686,10,4.6,mb,19,169,3.503,1.05,us,us7000nv33,2024-11-30T08:13:33.040Z,"south of the Kermadec Islands",earthquake,10.99,1.96,0.132,17,reviewed,us,us
2024-11-30T01:19:36.623Z,-22.4085,-177.9246,336.753,4.5,mb,36,112,5.984,1.08,us,us7000nv1b,2024-11-30T01:40:15.040Z,"south of the Fiji Islands",earthquake,11.59,8.91,0.067,66,reviewed,us,us
2024-11-30T00:52:29.577Z,37.0236,136.4226,10,4.8,mww,94,54,1.508,0.89,us,us7000nv16,2024-11-30T01:12:22.040Z,"35 km WNW of Hakui, Japan",earthquake,5.28,1.84,0.098,10,reviewed,us,us
2024-11-30T00:36:00.126Z,-8.8534,-81.1288,10,5.2,mb,78,156,5.242,0.91,us,us7000nv14,2024-12-01T17:18:40.512Z,"230 km WSW of Santiago de Cao, Peru",earthquake,8.48,1.894,0.027,456,reviewed,us,us
2024-11-29T21:20:55.042Z,-12.4753,167.0786,249.124,4.5,mb,48,65,2.956,0.74,us,us7000nv0e,2024-11-30T00:09:11.040Z,"163 km NNW of Sola, Vanuatu",earthquake,12.75,7.919,0.085,40,reviewed,us,us
2024-11-29T20:39:23.362Z,4.6325,127.7293,132.815,4.6,mb,126,72,3.231,0.75,us,us7000nv09,2024-11-29T23:03:37.040Z,"257 km SE of Pondaguitan, Philippines",earthquake,7.94,5.84,0.047,143,reviewed,us,us
2024-11-29T19:13:15.632Z,35.9457,31.7278,59.603,4.8,mww,128,23,1.636,0.89,us,us7000nv00,2024-12-06T00:54:25.680Z,"64 km SW of Gazipaşa, Turkey",earthquake,5.17,5.803,0.086,13,reviewed,us,us
2024-11-29T18:57:04.458Z,-0.2743,124.1524,71.709,4.5,mb,44,51,1.577,1.14,us,us7000nuzz,2024-11-29T21:52:52.040Z,"86 km SSW of Modisi, Indonesia",earthquake,6.14,7.142,0.092,38,reviewed,us,us
2024-11-29T16:13:18.372Z,-7.6456,104.8901,15.601,4.8,mb,32,162,2.742,1.23,us,us7000nuyl,2024-11-29T16:38:36.040Z,"174 km SW of Labuan, Indonesia",earthquake,6.43,5.086,0.113,24,reviewed,us,us
2024-11-28T23:26:45.140Z,-19.5948,169.0564,118.657,4.6,mb,41,129,3.358,0.81,us,us7000nuus,2024-11-29T00:33:53.040Z,"24 km WSW of Isangel, Vanuatu",earthquake,9.35,7.887,0.093,35,reviewed,us,us
2024-11-28T23:25:24.448Z,-29.3042,-177.9784,78.068,4.9,mb,20,128,0.066,1.65,us,us7000nuun,2024-11-29T00:02:28.040Z,"Kermadec Islands, New Zealand",earthquake,14.02,5.196,0.132,18,reviewed,us,us
2024-11-28T21:55:24.786Z,-3.834,100.5065,10,4.6,mb,34,202,2.498,0.7,us,us7000nuub,2024-11-28T22:27:24.040Z,"195 km W of Bengkulu, Indonesia",earthquake,11.06,1.933,0.109,25,reviewed,us,us
2024-11-28T19:28:47.056Z,34.1597,141.7806,35.044,4.8,mb,34,139,1.944,0.7,us,us7000nutf,2024-11-28T21:47:51.040Z,"173 km SE of Shinmachi, Japan",earthquake,9.42,7.905,0.091,37,reviewed,us,us
2024-11-28T18:41:43.010Z,-28.9522,-176.9137,35,4.9,mb,48,110,0.933,0.89,us,us7000nuta,2024-11-28T19:11:23.040Z,"Kermadec Islands region",earthquake,10.48,1.897,0.07,66,reviewed,us,us
2024-11-28T17:23:33.756Z,-5.5559,147.4597,195.059,4.6,mb,37,71,3.491,0.76,us,us7000nusu,2024-11-28T17:51:52.040Z,"118 km NNW of Finschhafen, Papua New Guinea",earthquake,6.62,7.09,0.096,34,reviewed,us,us
2024-11-28T15:40:55.404Z,-20.3301,67.8126,10,4.9,mb,32,61,4.215,1.06,us,us7000nuru,2024-11-28T16:02:15.040Z,"Mid-Indian Ridge",earthquake,12.26,1.877,0.105,28,reviewed,us,us
2024-11-28T10:49:00.101Z,36.6657,71.1984,215.713,5.1,mb,60,77,2.151,0.98,us,us7000nupk,2024-12-03T09:08:55.253Z,"30 km W of Ashkāsham, Afghanistan",earthquake,7.39,9.053,0.082,48,reviewed,us,us
2024-11-28T08:31:06.542Z,36.946,136.4381,10,4.5,mwr,90,55,1.474,1,us,us7000nunw,2024-11-28T09:01:22.756Z,"31 km WNW of Hakui, Japan",earthquake,7.62,1.863,0.075,17,reviewed,us,us
2024-11-28T01:52:31.003Z,43.4644,-127.167,10,4.6,mww,136,197,1.646,0.88,us,us7000num7,2024-11-28T18:23:15.899Z,"227 km W of Bandon, Oregon",earthquake,4.55,1.998,0.063,24,reviewed,us,us
